Vehicle ID,Lane,Frame,Timestamp
2746,1,5933,00:03:17
2825,1,5934,00:03:17
2828,3,5946,00:03:18
2836,1,5948,00:03:18
2850,2,5965,00:03:18
2854,1,5967,00:03:18
2750,1,5973,00:03:19
2861,1,5977,00:03:19
2855,1,5988,00:03:19
2885,2,6016,00:03:20
2840,2,6016,00:03:20
2889,2,6024,00:03:20
2888,1,6026,00:03:20
2890,2,6027,00:03:20
2881,1,6027,00:03:20
2892,1,6038,00:03:21
2893,2,6041,00:03:21
2901,1,6050,00:03:21
2916,1,6063,00:03:22
2852,1,6070,00:03:22
2919,1,6072,00:03:22
2818,1,6093,00:03:23
2938,1,6112,00:03:23
2766,2,6135,00:03:24
2953,2,6167,00:03:25
2909,1,6170,00:03:25
2884,1,6172,00:03:25
2967,1,6193,00:03:26
2976,1,6211,00:03:27
2960,2,6214,00:03:27
2969,2,6216,00:03:27
2929,1,6216,00:03:27
2886,1,6252,00:03:28
3014,1,6265,00:03:28
3036,1,6282,00:03:29
2995,1,6298,00:03:29
3053,1,6309,00:03:30
3024,2,6315,00:03:30
3061,1,6323,00:03:30
3058,3,6326,00:03:30
3068,1,6327,00:03:30
3087,1,6353,00:03:31
3082,1,6361,00:03:32
3102,1,6374,00:03:32
3105,1,6381,00:03:32
3101,3,6385,00:03:32
3111,1,6389,00:03:32
3114,1,6409,00:03:33
3129,3,6412,00:03:33
3045,1,6429,00:03:34
3084,1,6442,00:03:34
3150,2,6445,00:03:34
3159,2,6465,00:03:35
3161,1,6476,00:03:35
3169,1,6482,00:03:36
3177,1,6488,00:03:36
3189,1,6502,00:03:36
3191,1,6505,00:03:36
3124,1,6526,00:03:37
3202,1,6542,00:03:38
3122,1,6569,00:03:38
3201,2,6571,00:03:39
3217,2,6578,00:03:39
3210,3,6583,00:03:39
3225,1,6586,00:03:39
3226,1,6589,00:03:39
3231,2,6601,00:03:40
3236,2,6617,00:03:40
3198,2,6662,00:03:42
3260,2,6705,00:03:43
3268,2,6728,00:03:44
3259,2,6728,00:03:44
3282,2,6739,00:03:44
3289,2,6756,00:03:45
3206,1,6756,00:03:45
3292,2,6760,00:03:45
3287,1,6765,00:03:45
3310,2,6819,00:03:47
3329,3,6834,00:03:47
3317,2,6887,00:03:49
3348,2,6888,00:03:49
3343,1,6890,00:03:49
3356,1,6897,00:03:49
3357,1,6901,00:03:50
3368,2,6937,00:03:51
3371,2,6947,00:03:51
3315,1,6948,00:03:51
3379,1,6954,00:03:51
3374,2,6958,00:03:51
3387,2,6974,00:03:52
3393,2,7017,00:03:53
3399,2,7028,00:03:54
3402,2,7034,00:03:54
3381,1,7048,00:03:54
3411,2,7103,00:03:56
3415,1,7122,00:03:57
3433,1,7188,00:03:59
3435,1,7194,00:03:59
3437,2,7202,00:04:00
3445,2,7224,00:04:00
3454,2,7246,00:04:01
3455,1,7258,00:04:01
3463,2,7269,00:04:02
3466,2,7272,00:04:02
3462,1,7276,00:04:02
3458,3,7284,00:04:02
3472,1,7286,00:04:02
3473,2,7288,00:04:02
3470,2,7291,00:04:03
3474,2,7298,00:04:03
3480,2,7316,00:04:03
3478,3,7316,00:04:03
3481,2,7318,00:04:03
3483,1,7334,00:04:04
3488,3,7340,00:04:04
3489,3,7357,00:04:05
3516,2,7408,00:04:06
3518,1,7420,00:04:07
3523,1,7425,00:04:07
3517,3,7428,00:04:07
3528,1,7435,00:04:07
3526,1,7437,00:04:07
3536,2,7460,00:04:08
3539,2,7468,00:04:08
3540,2,7470,00:04:08
3547,2,7507,00:04:10
3550,2,7508,00:04:10
3513,1,7509,00:04:10
3553,2,7516,00:04:10
3555,1,7524,00:04:10
3557,2,7527,00:04:10
3565,2,7542,00:04:11
3564,2,7542,00:04:11
3537,1,7550,00:04:11
3570,2,7554,00:04:11
3573,2,7558,00:04:11
3578,2,7569,00:04:12
3575,1,7569,00:04:12
3583,1,7590,00:04:12
3587,2,7597,00:04:13
3586,1,7597,00:04:13
3569,1,7599,00:04:13
3598,1,7612,00:04:13
3603,2,7617,00:04:13
3602,1,7617,00:04:13
3607,1,7622,00:04:14
3596,3,7623,00:04:14
3610,2,7630,00:04:14
3566,1,7643,00:04:14
3620,2,7650,00:04:14
3622,1,7654,00:04:15
3608,1,7656,00:04:15
3627,1,7665,00:04:15
